fork_owner,fork_url,owner_type,created_at,pushed_at,size,stars,forks_of_fork,open_issues,has_homepage,is_archived
kevinwu0903,https://github.com/kevinwu0903/claude-code-templates,User,2026-01-08T22:45:24Z,2026-01-08T19:32:32Z,43248,0,0,0,True,False
skew202,https://github.com/skew202/claude-code-templates,User,2026-01-08T22:33:00Z,2026-01-08T19:32:32Z,43248,0,0,0,True,False
bambom,https://github.com/bambom/claude-code-templates,User,2026-01-08T20:48:13Z,2026-01-08T19:32:32Z,43248,0,0,0,True,False
dariuszliss,https://github.com/dariuszliss/claude-code-templates,User,2026-01-08T19:27:47Z,2026-01-08T14:24:30Z,39141,0,0,0,True,False
danabindra,https://github.com/danabindra/claude-code-templates,User,2026-01-08T17:12:55Z,2026-01-08T14:24:30Z,39141,0,0,0,True,False
annechari-co,https://github.com/annechari-co/claude-code-templates,Organization,2026-01-08T14:00:52Z,2026-01-08T13:41:41Z,37187,0,0,0,True,False
ModernCan,https://github.com/ModernCan/claude-code-templates,User,2026-01-08T13:44:26Z,2026-01-08T13:41:41Z,37187,0,0,0,True,False
boobooki,https://github.com/boobooki/claude-code-templates,User,2026-01-08T13:36:31Z,2026-01-13T13:05:09Z,35645,0,0,0,True,False
TheRakeshPurohit,https://github.com/TheRakeshPurohit/claude-code-templates,User,2026-01-08T11:27:20Z,2026-01-15T07:16:30Z,45895,0,0,1,True,False
shohanursobuj,https://github.com/shohanursobuj/claude-code-templates,User,2026-01-08T09:19:00Z,2026-01-08T04:46:14Z,37187,0,0,0,True,False
mrme77,https://github.com/mrme77/claude-code-templates,User,2026-01-08T01:54:39Z,2026-01-07T18:32:07Z,33514,0,0,0,True,False
ciadosdescontos,https://github.com/ciadosdescontos/claude-code-templates,User,2026-01-07T19:42:59Z,2026-01-07T18:32:07Z,33514,0,0,0,True,False
dchichkov,https://github.com/dchichkov/claude-code-templates,User,2026-01-07T18:15:30Z,2026-01-07T18:17:41Z,33176,0,0,0,True,False
Coldwinterday,https://github.com/Coldwinterday/claude-code-templates,User,2026-01-07T09:19:43Z,2026-01-07T03:30:20Z,33440,1,0,0,True,False
12isaki,https://github.com/12isaki/claude-code-templates,User,2026-01-07T08:05:35Z,2026-01-07T03:30:20Z,33440,0,0,0,True,False
danatec1,https://github.com/danatec1/claude-code-templates,User,2026-01-06T18:12:00Z,2026-01-06T17:28:39Z,34916,0,0,0,True,False
MILKMILKKING,https://github.com/MILKMILKKING/claude-code-templates,User,2026-01-06T16:31:15Z,2026-01-06T13:31:33Z,34916,0,0,0,True,False
genwilliam,https://github.com/genwilliam/claude-code-templates,User,2026-01-06T15:40:39Z,2026-01-06T13:31:33Z,34916,0,0,0,True,False
saxster,https://github.com/saxster/claude-code-templates,User,2026-01-06T15:02:51Z,2026-01-06T13:31:33Z,34916,0,0,0,True,False
FucciUnavailable,https://github.com/FucciUnavailable/claude-code-templates,User,2026-01-06T05:31:15Z,2026-01-06T21:28:25Z,33070,0,0,0,True,False
fengzw,https://github.com/fengzw/claude-code-templates,User,2026-01-06T03:45:03Z,2026-01-06T03:30:55Z,33369,0,0,0,True,False
digitalhandles,https://github.com/digitalhandles/claude-code-templates,User,2026-01-05T22:50:54Z,2026-01-05T03:34:45Z,33369,0,0,0,True,False
thanhlinh9191,https://github.com/thanhlinh9191/claude-code-templates,User,2026-01-05T15:40:30Z,2026-01-05T03:34:45Z,33369,0,0,0,True,False
redants-101,https://github.com/redants-101/claude-code-templates,User,2026-01-05T09:39:40Z,2026-01-05T03:34:45Z,33369,0,0,0,True,False
KhryptorGraphics,https://github.com/KhryptorGraphics/claude-code-templates,User,2026-01-05T06:04:59Z,2026-01-05T03:34:45Z,33369,0,0,0,True,False
escrivivir-co,https://github.com/escrivivir-co/mcp-agent-lore-sdk,User,2026-01-04T22:11:39Z,2026-01-04T23:27:55Z,39195,0,0,0,True,False
dingyuliang,https://github.com/dingyuliang/claude-code-templates,User,2026-01-04T19:44:31Z,2026-01-04T03:32:28Z,39560,0,0,0,True,False
hwawon,https://github.com/hwawon/claude-code-templates,User,2026-01-04T12:45:09Z,2026-01-04T03:32:28Z,39560,0,0,0,True,False
Dylanliacc,https://github.com/Dylanliacc/claude-code-templates,User,2026-01-04T11:52:45Z,2026-01-04T03:32:28Z,39560,0,0,0,True,False
AlonCyan,https://github.com/AlonCyan/claude-code-templates,User,2026-01-04T06:48:35Z,2026-01-09T06:46:50Z,43330,0,0,0,True,False
guscanales,https://github.com/guscanales/claude-code-templates,User,2026-01-04T05:51:50Z,2026-01-04T03:32:28Z,39560,0,0,0,True,False
magicgdc,https://github.com/magicgdc/claude-code-templates,User,2026-01-04T02:15:49Z,2026-01-03T22:34:06Z,39543,0,0,0,True,False
dbcxy,https://github.com/dbcxy/claude-code-templates,User,2026-01-04T02:08:30Z,2026-01-03T22:34:06Z,39543,0,0,0,True,False
mdc159,https://github.com/mdc159/claude-code-templates,User,2026-01-03T18:55:52Z,2026-01-03T03:29:58Z,37542,0,0,0,True,False
delivery-claude-agent,https://github.com/delivery-claude-agent/claude-code-templates,Organization,2026-01-03T08:58:12Z,2026-01-03T03:29:58Z,37542,0,0,0,True,False
Frh123456,https://github.com/Frh123456/claude-code-templates,User,2026-01-03T08:15:52Z,2026-01-03T03:29:58Z,37542,0,0,0,True,False
Artek338,https://github.com/Artek338/claude-code-templates,User,2026-01-03T07:51:34Z,2026-01-03T03:29:58Z,37542,0,0,0,True,False
Fernando-Fernandez,https://github.com/Fernando-Fernandez/claude-code-templates,User,2026-01-03T06:26:16Z,2026-01-03T03:29:58Z,37542,0,0,0,True,False
robandrewford,https://github.com/robandrewford/claude-code-templates,User,2026-01-02T21:24:50Z,2026-01-02T03:32:06Z,37532,0,0,0,True,False
agentgill,https://github.com/agentgill/claude-code-templates,User,2026-01-02T19:31:29Z,2026-01-02T03:32:06Z,37532,0,0,0,True,False
jeanary,https://github.com/jeanary/claude-code-templates,User,2026-01-02T12:43:33Z,2026-01-02T03:32:06Z,37532,0,0,0,True,False
kirikab-27,https://github.com/kirikab-27/claude-code-templates,User,2026-01-02T11:15:28Z,2026-01-02T03:32:06Z,37532,0,0,0,True,False
yarstann,https://github.com/yarstann/claude-code-templates,User,2026-01-02T11:01:07Z,2026-01-02T03:32:06Z,37532,0,0,0,True,False
samuelcombey,https://github.com/samuelcombey/claude-code-templates,User,2026-01-02T06:43:38Z,2026-01-02T03:32:06Z,37532,0,0,0,True,False
soengkanel,https://github.com/soengkanel/claude-code-templates,User,2026-01-02T02:28:31Z,2026-01-01T22:35:25Z,37580,0,0,0,True,False
Saad-Selim,https://github.com/Saad-Selim/claude-code-templates,User,2026-01-01T22:47:02Z,2026-01-01T22:35:25Z,37571,0,0,0,True,False
oraekene,https://github.com/oraekene/claude-code-templates,User,2026-01-01T21:35:14Z,2026-01-01T20:38:35Z,37571,0,0,0,True,False
dobachi,https://github.com/dobachi/claude-code-templates,User,2026-01-01T11:07:24Z,2026-01-03T15:20:07Z,37160,0,0,0,True,False
lizzies,https://github.com/lizzies/claude-code-templates,User,2026-01-01T06:43:16Z,2026-01-04T03:51:40Z,39193,0,0,0,True,False
bjlin888,https://github.com/bjlin888/claude-code-templates,User,2026-01-01T02:58:19Z,2026-01-01T02:56:09Z,32215,0,0,0,True,False
weaverspencer-arch,https://github.com/weaverspencer-arch/claude-code-templates,User,2026-01-01T01:16:38Z,2026-01-01T02:39:43Z,31839,0,0,0,True,False
v0re,https://github.com/v0re/claude-code-templates,User,2025-12-31T15:31:56Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
jingmian,https://github.com/jingmian/claude-code-templates,User,2025-12-31T14:54:42Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
SeanZoR,https://github.com/SeanZoR/claude-code-templates,User,2025-12-31T13:39:22Z,2025-12-31T18:35:23Z,32166,0,0,0,True,False
xicheng0218,https://github.com/xicheng0218/claude-code-templates,User,2025-12-31T12:27:26Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
reneescobar,https://github.com/reneescobar/claude-code-templates,User,2025-12-31T12:02:01Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
raysunl,https://github.com/raysunl/claude-code-templates,User,2025-12-31T11:23:13Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
bentheautomator,https://github.com/bentheautomator/claude-code-templates,User,2025-12-31T09:03:50Z,2026-01-09T18:01:02Z,37399,0,0,0,True,False
tasty007,https://github.com/tasty007/claude-code-templates,User,2025-12-31T08:58:49Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
xianxianxianyu,https://github.com/xianxianxianyu/claude-code-templates,User,2025-12-31T07:59:47Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
jackys1982,https://github.com/jackys1982/claude-code-templates,User,2025-12-31T07:40:42Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
CoderIvanLee,https://github.com/CoderIvanLee/claude-code-templates,User,2025-12-31T07:35:58Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
PDDsa,https://github.com/PDDsa/claude-code-templates,User,2025-12-31T07:19:41Z,2025-12-31T03:31:48Z,32166,0,0,0,True,False
peijieking,https://github.com/peijieking/claude-code-templates,User,2025-12-31T04:30:19Z,2025-12-31T03:31:48Z,30308,0,0,0,True,False
jaychuo,https://github.com/jaychuo/claude-code-templates,User,2025-12-31T00:52:12Z,2025-12-30T17:37:42Z,30308,0,0,0,True,False
ignatiousagile,https://github.com/ignatiousagile/claude-code-templates,User,2025-12-30T20:22:33Z,2025-12-30T17:37:42Z,30308,0,0,0,True,False
beyazsapka,https://github.com/beyazsapka/claude-code-templates,User,2025-12-30T18:50:46Z,2025-12-30T17:37:42Z,30308,0,0,0,True,False
xuan2261,https://github.com/xuan2261/claude-code-templates,User,2025-12-29T23:49:58Z,2025-12-29T15:32:37Z,30614,0,0,0,True,False
Barba2k2,https://github.com/Barba2k2/claude-code-templates,User,2025-12-29T23:08:59Z,2025-12-29T23:09:01Z,30621,0,0,0,True,False
involvex,https://github.com/involvex/claude-code-templates,User,2025-12-29T14:07:53Z,2025-12-29T22:56:30Z,33216,1,0,0,True,False
metrbox,https://github.com/metrbox/claude-code-templates,User,2025-12-29T12:36:35Z,2025-12-29T03:37:43Z,28684,0,0,0,True,False
fcdtc,https://github.com/fcdtc/claude-internal-templates,User,2025-12-29T11:36:30Z,2025-12-30T10:37:05Z,29775,0,0,0,True,False
odoldotol,https://github.com/odoldotol/claude-code-templates,User,2025-12-29T10:42:33Z,2026-01-14T15:28:08Z,39885,0,0,0,True,False
SwimmingLiu,https://github.com/SwimmingLiu/claude-code-templates,User,2025-12-29T09:05:33Z,2025-12-29T03:37:43Z,28684,0,0,0,True,False
toryzhao,https://github.com/toryzhao/claude-code-templates,User,2025-12-29T08:00:41Z,2025-12-29T03:37:43Z,28684,0,0,0,True,False
RelaxBin,https://github.com/RelaxBin/claude-code-templates,User,2025-12-29T00:50:17Z,2025-12-28T03:33:54Z,28674,0,0,0,True,False
therealtimex,https://github.com/therealtimex/claude-code-templates,User,2025-12-28T20:41:20Z,2025-12-28T03:33:54Z,28674,0,0,0,True,False
nez0b,https://github.com/nez0b/claude-code-templates,User,2025-12-28T13:04:05Z,2025-12-28T03:33:54Z,28674,0,0,0,True,False
kenan2x,https://github.com/kenan2x/claude-code-templates,User,2025-12-28T12:45:46Z,2025-12-28T03:33:54Z,28674,0,0,0,True,False
michoo,https://github.com/michoo/claude-code-templates,User,2025-12-27T16:14:36Z,2025-12-27T03:31:40Z,27269,0,0,0,True,False
ZacharyDigital,https://github.com/ZacharyDigital/claude-code-templates,User,2025-12-27T15:31:27Z,2025-12-27T03:31:40Z,27269,0,0,0,True,False
MatthewHxlden,https://github.com/MatthewHxlden/claude-code-templates,User,2025-12-27T15:11:31Z,2025-12-27T03:31:40Z,27269,1,0,0,True,False
stophobia,https://github.com/stophobia/claude-code-templates,User,2025-12-27T13:36:57Z,2025-12-27T03:31:40Z,27269,1,0,0,True,False
